,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
1241,Recurso,3AQP,310.64,297.88,242.88,253.44,260.04,236.72,239.8,245.96,229.24,275.0,295.68,254.32,275.88,228.8,161.92,341.44,323.4,246.84,127.16,348.04,254.76,252.12,267.52,277.2,2024-10-31
1544,Recurso,3AQP,277.64,277.64,281.6,292.6,292.6,298.32,355.52,455.84,313.28,326.48,8.8,,116.16,62.48,217.8,120.12,464.64,381.48,360.36,334.4,222.2,416.68,313.28,309.32,2024-11-01
1837,Recurso,3AQP,280.28,273.24,274.12,274.56,244.64,375.32,251.68,271.48,250.8,277.2,277.2,362.56,311.96,299.64,327.8,286.0,270.16,233.64,258.28,298.76,297.44,298.76,310.64,279.4,2024-11-02
2139,Recurso,3AQP,277.2,267.96,259.16,262.68,250.36,234.52,285.12,256.08,260.48,274.12,268.84,283.36,275.0,322.96,269.28,250.8,249.04,276.32,558.36,606.76,633.16,555.72,586.96,517.44,2024-11-03
2447,Recurso,3AQP,48.4,495.88,801.24,800.36,660.88,634.92,538.12,508.64,454.52,378.4,,,504.24,429.44,471.68,392.04,421.52,363.88,373.12,352.88,352.0,346.72,343.64,331.76,2024-11-04
2748,Recurso,3AQP,310.2,334.84,298.76,299.64,296.12,294.36,307.56,296.12,303.16,326.92,344.96,319.88,289.52,321.64,306.24,309.32,280.72,298.76,297.44,279.84,278.96,280.72,255.2,264.88,2024-11-05
3057,Recurso,3AQP,289.52,289.52,284.24,260.04,260.48,265.32,282.04,267.96,237.6,267.08,354.64,304.04,224.4,282.04,330.44,356.4,278.08,260.48,283.36,265.76,271.92,271.92,264.44,269.28,2024-11-06
3358,Recurso,3AQP,271.92,270.6,253.44,240.68,242.0,238.92,262.68,253.88,262.68,266.2,194.48,359.48,273.24,245.52,295.68,301.4,275.44,298.32,308.88,304.92,274.56,286.0,280.28,277.64,2024-11-07
3671,Recurso,3AQP,281.6,284.24,298.76,320.76,102.96,233.2,708.84,787.6,796.4,830.28,435.16,743.6,579.04,78.32,894.96,923.56,931.92,930.6,927.52,864.16,896.72,888.36,828.08,762.52,2024-11-08
3977,Recurso,3AQP,759.0,765.16,773.08,777.48,777.48,755.92,597.96,681.56,672.32,631.4,592.68,622.6,565.84,638.0,605.44,575.52,561.0,557.92,557.04,603.24,598.84,521.84,591.8,591.36,2024-11-09
