,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
51,Recurso,3AQP,561.0,560.12,571.12,585.64,585.64,610.28,643.28,597.08,615.56,617.32,623.04,624.36,623.04,625.68,619.96,573.32,583.88,599.28,606.76,610.72,576.4,577.28,592.24,583.88,2024-07-29
321,Recurso,3AQP,561.88,589.16,588.28,587.84,586.96,582.56,573.32,577.72,581.24,583.44,586.08,621.72,638.88,574.2,590.48,548.68,554.84,554.84,571.56,561.44,570.68,577.28,561.88,524.92,2024-07-30
596,Recurso,3AQP,540.32,542.96,542.96,542.52,542.52,549.12,597.52,543.4,586.52,620.4,579.04,590.48,540.76,569.8,548.24,556.16,555.72,561.44,565.4,562.76,561.88,563.2,561.0,560.12,2024-07-31
867,Recurso,3AQP,550.44,542.08,531.08,524.48,524.48,517.88,508.64,513.04,546.48,579.04,579.92,579.04,578.16,580.8,551.76,459.8,562.76,566.72,564.52,563.2,554.4,547.36,550.0,551.32,2024-08-01
1136,Recurso,3AQP,550.44,548.68,534.16,517.88,515.68,516.12,529.76,531.96,328.24,521.84,522.28,520.96,520.52,543.84,557.04,554.4,553.52,553.96,549.12,508.2,522.72,532.84,540.32,540.76,2024-08-02
1404,Recurso,3AQP,538.56,550.88,557.48,556.6,557.04,563.2,581.24,586.08,591.8,601.04,605.88,603.24,597.96,596.2,549.56,512.16,560.56,557.48,513.92,541.64,455.84,587.4,465.08,531.08,2024-08-03
1677,Recurso,3AQP,531.08,531.08,531.52,529.76,529.32,539.88,545.6,625.24,589.6,578.16,593.56,538.12,557.48,574.2,505.56,542.52,534.16,489.28,514.36,499.84,513.04,515.24,518.32,519.2,2024-08-04
1943,Recurso,3AQP,518.76,518.32,517.88,517.0,518.76,531.08,146.52,,630.96,828.96,857.12,912.12,919.6,924.88,893.2,874.72,866.8,828.96,846.12,844.36,736.56,720.72,754.16,754.16,2024-08-05
2222,Recurso,3AQP,755.04,754.16,753.72,752.84,753.28,765.16,655.16,725.56,737.88,747.12,727.32,659.12,710.6,659.56,638.88,650.76,608.52,630.52,626.56,590.04,589.16,612.92,542.08,633.16,2024-08-06
2494,Recurso,3AQP,617.76,619.52,314.6,557.48,876.92,880.44,770.44,786.28,718.52,715.0,697.4,714.56,687.28,674.96,629.2,660.0,664.84,621.28,617.76,626.56,614.68,598.4,613.8,614.24,2024-08-07
2766,Recurso,3AQP,613.8,613.8,612.92,612.48,607.2,548.68,524.04,564.52,618.64,618.64,619.52,617.32,616.88,615.12,614.24,613.36,604.12,494.12,525.8,617.32,569.8,555.72,571.12,572.88,2024-08-08
3039,Recurso,3AQP,572.0,569.8,551.76,546.04,553.08,555.28,549.12,552.64,556.16,564.52,566.72,568.48,567.16,567.16,568.04,568.04,567.6,572.88,603.24,603.68,472.56,541.2,582.12,597.52,2024-08-09
3308,Recurso,3AQP,539.0,544.28,545.16,546.92,507.76,533.72,537.68,539.88,542.52,545.16,546.92,547.36,566.72,573.32,570.24,304.48,193.6,87.12,733.04,468.16,629.64,782.76,728.64,780.12,2024-08-10
3580,Recurso,3AQP,794.2,727.76,758.12,764.28,773.96,783.2,721.16,708.4,799.92,791.56,746.24,739.2,733.04,649.0,687.72,687.28,685.96,685.96,633.16,634.04,638.0,650.32,656.92,651.2,2024-08-11
3853,Recurso,3AQP,645.48,586.08,612.04,623.48,612.92,597.96,605.88,607.64,614.24,619.52,632.28,639.76,611.6,590.48,593.12,558.36,456.28,415.36,541.2,608.08,30.36,500.72,504.24,555.28,2024-08-12
4127,Recurso,3AQP,585.64,588.28,587.4,587.4,587.4,623.48,578.16,743.6,696.52,784.52,808.72,812.24,834.24,880.0,707.96,695.2,768.24,816.64,816.64,822.8,748.44,791.56,791.12,790.68,2024-08-13
4395,Recurso,3AQP,787.6,728.64,713.68,715.44,715.88,740.96,737.44,706.2,721.6,730.4,732.6,731.28,703.56,676.72,281.6,458.04,609.4,671.44,620.84,643.28,669.68,693.44,692.56,639.32,2024-08-14
4669,Recurso,3AQP,619.08,660.0,658.68,652.52,612.48,596.2,634.04,638.0,635.8,464.64,600.6,635.36,608.08,597.52,596.2,513.92,542.08,565.84,610.28,625.24,606.32,545.6,619.96,539.0,2024-08-15
4939,Recurso,3AQP,544.72,564.52,566.72,567.6,568.04,639.76,530.2,534.6,542.96,555.72,568.92,575.52,581.68,588.28,399.08,529.76,553.96,527.12,510.84,512.16,511.72,512.6,516.56,519.64,2024-08-16
5217,Recurso,3AQP,532.84,524.04,504.24,513.92,514.8,514.8,515.68,517.0,518.32,520.96,522.28,522.72,523.6,524.48,546.92,485.76,553.52,551.76,544.72,516.12,518.32,523.16,529.76,533.72,2024-08-17
5490,Recurso,3AQP,509.52,506.0,511.72,499.4,495.0,485.32,522.72,520.96,525.36,527.56,560.56,563.2,562.76,563.2,562.32,562.32,560.56,558.36,504.68,513.04,518.76,520.52,532.84,532.4,2024-08-18
5764,Recurso,3AQP,531.08,530.2,529.32,528.88,527.12,524.48,513.48,515.24,516.56,519.2,527.56,528.88,530.2,530.64,530.64,531.52,531.08,530.64,530.64,529.76,529.32,510.84,504.68,509.52,2024-08-19
6044,Recurso,3AQP,505.12,495.44,488.84,489.28,493.68,493.68,500.72,502.04,505.56,508.64,509.08,540.76,554.4,501.6,516.56,517.0,541.64,480.48,527.56,407.44,572.88,495.0,522.72,502.48,2024-08-20
6328,Recurso,3AQP,495.88,505.12,506.0,487.52,476.96,488.84,510.4,501.16,505.56,515.24,520.52,550.44,512.16,473.88,519.2,519.64,519.2,466.4,381.92,460.68,484.44,493.68,512.16,510.84,2024-08-21
6613,Recurso,3AQP,507.76,471.24,474.32,474.76,473.88,13.2,,445.28,689.04,690.8,687.28,605.44,605.0,630.08,633.6,631.84,585.64,575.08,588.72,558.36,561.0,573.76,574.64,573.32,2024-08-22
6895,Recurso,3AQP,572.0,562.32,528.44,558.8,576.84,594.88,612.04,602.8,638.0,506.88,567.6,571.12,517.88,503.8,515.24,518.32,505.56,503.36,493.24,497.64,508.2,496.76,502.92,509.96,2024-08-23
7175,Recurso,3AQP,664.4,799.92,682.0,401.28,821.48,725.12,821.48,522.28,374.88,720.28,836.0,774.84,757.24,781.0,695.2,683.32,614.24,622.16,654.72,650.32,594.0,606.32,607.64,577.28,2024-08-24
7456,Recurso,3AQP,548.24,581.24,557.04,592.24,694.32,367.4,253.88,699.16,717.64,819.28,840.84,624.8,455.4,745.36,859.76,878.24,885.28,877.36,846.12,809.6,781.44,779.68,771.76,774.84,2024-08-25
7739,Recurso,3AQP,774.4,768.24,689.04,714.12,712.36,718.08,726.0,734.8,715.0,709.72,734.36,718.08,645.04,696.52,712.36,707.96,617.76,639.32,648.12,653.4,652.08,657.36,660.88,644.6,2024-08-26
8025,Recurso,3AQP,605.0,605.0,612.92,613.8,617.76,619.52,630.52,608.08,617.76,634.92,636.68,610.28,612.92,599.28,607.2,594.44,573.32,591.36,592.68,592.24,595.32,599.28,605.0,605.44,2024-08-27
51,Recurso,3AQP,894.08,892.32,892.32,890.56,599.72,165.44,883.52,895.4,894.96,894.08,894.08,896.28,893.2,893.2,894.96,891.0,887.92,891.44,892.76,891.88,890.12,891.44,890.12,888.8,2024-06-29
322,Recurso,3AQP,886.6,888.8,880.44,882.2,888.36,888.8,888.8,887.92,873.4,892.32,855.36,861.96,874.72,883.52,890.56,889.68,881.32,875.16,793.76,851.84,892.32,893.2,824.56,755.48,2024-06-30
590,Recurso,3AQP,768.68,872.96,844.36,855.8,854.92,854.92,857.12,858.0,855.36,858.88,860.2,859.32,859.76,859.76,861.96,869.0,871.64,872.52,868.56,859.32,862.84,861.96,844.36,850.52,2024-07-01
859,Recurso,3AQP,850.52,843.04,840.4,404.8,,434.28,863.28,768.68,827.64,827.64,830.28,849.2,870.76,888.36,858.88,879.12,877.8,869.44,872.52,884.4,888.36,887.48,873.84,865.48,2024-07-02
1132,Recurso,3AQP,865.92,864.6,861.08,545.6,777.92,847.88,836.44,522.72,873.4,883.08,894.08,894.08,897.6,893.64,876.48,861.96,860.64,861.96,852.72,762.08,906.84,889.68,892.32,888.36,2024-07-03
1407,Recurso,3AQP,887.48,886.6,887.04,883.08,882.64,34.32,,180.84,304.92,877.8,891.88,893.2,577.72,725.56,895.4,898.04,900.24,897.16,866.8,816.64,874.72,896.72,897.16,893.2,2024-07-04
1684,Recurso,3AQP,891.0,890.56,891.88,891.88,839.08,699.16,437.36,689.92,758.56,706.64,420.2,834.68,859.32,875.16,884.84,884.4,534.16,868.12,898.92,897.16,896.28,891.0,883.52,886.6,2024-07-05
1961,Recurso,3AQP,880.44,872.08,857.12,847.88,833.36,858.88,898.48,895.4,887.92,889.68,884.4,889.24,883.08,890.56,892.32,890.56,879.56,876.04,877.36,854.92,898.04,891.0,881.76,880.44,2024-07-06
2234,Recurso,3AQP,879.12,880.88,876.04,878.24,879.56,879.12,884.4,891.88,891.0,890.56,894.96,897.16,900.24,902.44,917.4,661.32,50.6,26.84,,180.84,581.24,797.28,812.24,834.68,2024-07-07
2510,Recurso,3AQP,853.6,853.6,863.28,860.64,868.12,874.28,876.04,872.96,237.16,51.04,837.76,888.36,895.84,893.2,896.72,898.04,895.4,895.4,893.2,895.4,894.96,897.6,896.28,898.48,2024-07-08
2783,Recurso,3AQP,898.92,898.04,895.84,889.68,880.0,882.2,885.72,884.84,876.48,881.76,884.4,877.8,869.44,861.08,864.16,863.72,858.44,854.04,869.88,878.68,881.76,873.84,862.4,865.04,2024-07-09
3058,Recurso,3AQP,862.84,860.64,857.56,854.92,855.36,859.32,848.32,848.32,849.64,852.72,856.68,859.32,858.88,852.72,813.56,830.72,831.16,832.48,843.48,847.88,850.08,850.52,853.6,856.24,2024-07-10
3330,Recurso,3AQP,857.12,857.56,856.24,854.92,856.24,861.52,871.64,873.4,859.76,843.04,842.16,865.92,869.0,861.52,859.32,861.08,861.96,863.72,865.92,861.08,861.52,860.2,857.56,858.0,2024-07-11
3607,Recurso,3AQP,856.68,856.24,856.68,857.12,860.64,860.64,863.28,855.36,844.36,844.36,865.92,857.56,864.16,861.52,862.4,801.68,804.32,871.64,864.6,854.48,847.44,799.92,843.48,848.32,2024-07-12
3888,Recurso,3AQP,845.68,842.16,843.04,842.16,842.16,844.36,860.64,855.8,846.12,851.4,857.56,830.72,825.44,806.52,787.16,806.08,819.28,792.44,818.84,842.16,837.32,819.72,824.12,823.68,2024-07-13
4169,Recurso,3AQP,824.12,825.0,823.24,822.36,822.36,821.92,821.04,828.96,827.2,823.68,838.2,839.96,839.96,841.28,849.2,815.32,801.68,813.56,830.28,830.28,817.08,800.36,817.52,815.76,2024-07-14
4446,Recurso,3AQP,811.36,797.28,797.28,789.8,780.56,737.44,829.84,771.32,794.2,819.28,822.36,820.6,810.04,818.84,803.44,789.36,767.8,773.96,775.72,792.0,791.56,789.36,789.8,791.12,2024-07-15
4725,Recurso,3AQP,775.72,761.64,758.12,746.68,760.32,786.72,794.2,768.24,764.28,774.4,775.28,780.56,783.64,792.0,700.48,442.2,809.6,873.4,644.16,801.68,804.76,822.8,754.6,796.4,2024-07-16
5002,Recurso,3AQP,795.96,805.64,739.64,765.6,770.44,714.12,790.24,750.2,687.72,807.84,747.56,795.52,762.96,760.32,722.48,773.96,705.76,743.16,760.32,765.16,719.4,728.64,736.12,736.56,2024-07-17
5278,Recurso,3AQP,735.68,735.68,734.8,734.36,733.92,746.24,711.48,718.96,752.4,759.0,759.88,723.36,740.96,722.92,720.72,734.8,733.04,704.44,714.56,720.72,722.48,736.56,767.36,757.68,2024-07-18
5557,Recurso,3AQP,679.8,722.92,719.84,680.24,715.44,685.96,704.0,721.16,703.56,708.4,708.84,721.16,721.6,751.96,649.0,722.92,722.04,697.84,673.64,694.32,615.12,616.44,680.24,681.56,2024-07-19
5838,Recurso,3AQP,687.28,686.4,685.96,684.2,684.2,704.88,666.16,692.56,670.56,715.44,700.92,705.76,694.32,678.04,667.48,668.8,689.04,698.72,696.96,695.2,693.44,686.4,686.84,683.32,2024-07-20
6120,Recurso,3AQP,673.2,665.28,671.44,674.08,680.68,676.28,663.52,664.4,666.6,673.64,682.0,695.2,691.68,683.32,656.92,658.68,672.32,649.44,647.68,652.08,653.4,658.68,634.92,643.28,2024-07-21
6396,Recurso,3AQP,661.32,661.32,660.88,661.32,660.44,671.88,686.84,649.88,664.84,672.76,675.84,679.36,665.72,642.4,638.88,642.4,655.6,655.6,660.44,631.4,649.88,634.04,625.68,623.04,2024-07-22
6675,Recurso,3AQP,619.08,608.08,582.12,589.6,627.0,643.72,661.76,625.24,633.6,641.52,645.92,648.56,648.12,648.56,648.12,647.24,647.68,625.68,590.04,632.72,636.24,634.04,631.4,627.44,2024-07-23
6952,Recurso,3AQP,619.52,604.12,597.08,603.24,625.68,629.64,598.84,622.16,629.2,634.04,635.8,636.24,635.36,640.2,640.64,640.2,625.68,581.24,607.2,597.52,604.56,606.76,614.68,620.4,2024-07-24
7234,Recurso,3AQP,620.4,589.16,78.32,727.32,731.72,649.88,674.52,634.92,553.52,555.72,613.8,636.24,636.24,636.68,635.8,635.8,636.24,641.52,649.0,647.24,627.44,589.6,620.4,624.8,2024-07-25
7515,Recurso,3AQP,624.36,625.24,630.96,630.08,627.44,610.72,586.96,632.72,632.72,633.6,635.36,635.8,635.8,635.36,634.92,634.04,633.16,602.36,594.44,609.84,619.52,619.08,619.08,618.64,2024-07-26
7795,Recurso,3AQP,618.64,618.64,616.44,611.6,547.8,371.8,337.48,853.16,840.84,837.32,828.96,748.0,781.0,792.88,632.72,601.04,707.08,720.72,735.68,663.08,700.04,707.08,713.24,673.64,2024-07-27
8074,Recurso,3AQP,672.32,674.08,674.52,674.96,673.64,611.6,502.04,609.4,695.64,657.8,661.76,616.44,662.2,677.16,579.48,612.48,633.16,671.88,566.72,590.04,653.4,652.08,523.6,561.0,2024-07-28
44,Recurso,3AQP,784.52,806.52,827.64,684.2,768.24,708.4,706.64,705.76,709.72,707.96,709.28,695.2,624.36,656.48,600.16,600.6,617.32,623.92,629.64,632.28,635.36,645.48,641.96,590.48,2024-05-30
322,Recurso,3AQP,601.92,581.68,584.32,571.56,558.8,554.84,569.36,570.68,508.2,473.88,384.12,444.4,524.48,535.92,537.68,534.16,537.68,536.36,529.32,528.44,526.68,494.56,446.6,454.96,2024-05-31
598,Recurso,3AQP,454.08,458.48,469.04,468.6,472.12,490.6,523.6,473.44,513.04,524.92,532.4,539.88,507.32,481.8,451.0,350.68,521.84,407.88,438.68,437.8,446.6,462.88,438.68,388.08,2024-06-01
873,Recurso,3AQP,401.28,409.64,416.68,421.08,421.52,444.4,455.84,450.56,377.08,469.92,489.72,436.48,470.8,430.32,439.12,414.04,407.44,410.96,415.8,439.12,362.12,397.32,397.76,396.0,2024-06-02
1149,Recurso,3AQP,396.88,396.44,396.44,395.12,395.12,400.4,404.8,409.64,389.84,396.44,402.6,409.2,398.2,380.16,385.44,430.32,398.64,390.28,403.48,427.68,439.12,456.28,455.84,455.84,2024-06-03
1429,Recurso,3AQP,454.96,454.96,454.08,445.28,401.72,450.12,502.04,538.12,538.56,547.36,562.32,572.88,493.68,493.24,431.64,476.08,484.0,505.56,520.52,518.76,517.0,443.52,473.0,475.2,2024-06-04
1712,Recurso,3AQP,478.72,478.72,478.28,476.08,483.56,437.8,429.88,397.76,386.32,405.24,406.56,407.88,417.56,374.0,349.36,400.4,420.64,434.28,426.8,401.28,413.6,406.12,381.48,443.52,2024-06-05
1992,Recurso,3AQP,444.84,429.44,370.92,408.76,439.12,448.8,448.36,447.92,443.96,442.64,443.52,441.32,430.32,442.64,441.32,436.04,417.12,406.12,405.24,418.0,433.4,431.2,418.88,408.32,2024-06-06
2262,Recurso,3AQP,399.52,368.28,399.08,402.16,408.32,381.92,363.88,370.92,392.92,393.36,396.0,424.16,433.4,435.6,440.88,447.04,384.12,361.68,381.48,399.96,409.2,423.28,428.12,396.88,2024-06-07
2539,Recurso,3AQP,391.16,396.44,385.88,371.36,369.16,367.4,372.24,378.84,379.72,383.24,385.44,386.76,391.16,406.56,406.56,403.48,403.48,410.52,410.08,407.0,381.92,339.68,389.4,396.44,2024-06-08
2821,Recurso,3AQP,393.8,363.44,332.64,360.8,367.84,349.8,356.4,347.6,366.96,369.6,381.92,366.08,386.32,423.72,333.96,261.36,450.56,433.84,364.32,393.36,320.76,323.84,339.24,340.56,2024-06-09
3103,Recurso,3AQP,341.88,337.92,337.92,336.16,335.28,344.08,430.76,448.36,340.12,430.32,485.32,555.28,451.44,505.56,514.8,417.12,337.04,451.88,394.24,304.92,468.16,241.12,212.96,280.28,2024-06-10
3378,Recurso,3AQP,324.28,373.56,375.76,376.64,377.08,397.32,293.48,416.68,431.64,437.8,420.64,375.32,392.48,420.64,429.88,312.84,123.64,343.2,275.0,247.28,283.8,266.64,230.56,286.44,2024-06-11
3656,Recurso,3AQP,381.92,379.28,322.08,322.52,322.52,336.16,348.48,296.12,363.0,375.32,395.12,395.56,280.28,340.12,394.68,402.6,313.28,293.04,369.6,381.92,341.88,320.76,341.44,341.44,2024-06-12
3933,Recurso,3AQP,342.32,339.24,321.2,310.2,297.88,333.08,320.76,318.56,319.88,321.2,322.52,325.16,331.32,390.28,518.76,472.56,478.28,371.36,360.8,349.8,325.16,308.0,322.96,317.24,2024-06-13
4211,Recurso,3AQP,294.36,310.2,322.52,332.64,319.44,330.44,341.0,334.84,346.28,346.28,347.6,347.16,357.28,368.72,344.08,250.8,279.84,801.24,837.76,848.76,854.92,812.24,764.72,788.04,2024-06-14
4491,Recurso,3AQP,623.92,183.92,685.08,704.0,809.16,850.96,851.4,848.76,849.2,851.84,860.64,869.0,868.56,867.24,865.92,863.72,856.24,858.0,843.92,866.8,865.48,859.76,804.32,784.08,2024-06-15
4768,Recurso,3AQP,769.12,789.8,792.44,808.72,852.28,869.88,869.88,871.2,871.2,876.48,865.04,812.24,791.12,785.84,791.56,740.96,758.12,713.24,716.32,728.2,716.32,689.48,691.24,658.68,2024-06-16
5047,Recurso,3AQP,659.56,640.2,628.76,633.6,623.48,623.04,625.68,616.88,645.92,661.32,661.32,660.44,644.16,622.16,621.72,539.0,540.32,541.2,540.76,633.6,498.08,529.32,579.48,578.6,2024-06-17
5324,Recurso,3AQP,578.16,574.64,517.44,519.64,525.8,527.12,636.68,707.96,851.4,839.96,801.68,766.48,710.16,691.68,680.68,659.56,637.56,616.0,618.2,619.96,621.72,622.16,621.72,621.28,2024-06-18
5601,Recurso,3AQP,622.16,625.68,576.4,563.64,567.6,574.2,543.4,564.52,481.8,611.6,620.84,607.64,614.68,586.08,612.92,648.12,737.44,844.36,834.68,852.28,854.04,841.28,824.56,808.28,2024-06-19
5869,Recurso,3AQP,673.64,658.24,657.8,657.8,659.12,704.88,757.68,734.36,734.36,728.64,717.2,701.36,704.44,677.6,672.32,680.24,689.92,665.28,648.12,665.28,649.0,665.28,595.32,604.56,2024-06-20
6141,Recurso,3AQP,604.12,604.12,604.12,604.56,604.12,634.48,640.2,587.84,608.52,618.64,621.28,624.8,630.52,634.92,649.88,579.92,603.24,564.08,570.68,578.16,576.84,578.6,600.6,638.0,2024-06-21
6412,Recurso,3AQP,649.88,667.48,575.96,343.64,477.84,718.96,740.96,721.16,684.2,681.56,660.88,677.16,686.4,674.96,655.16,655.16,624.36,616.88,626.12,624.8,616.88,622.16,337.04,355.08,2024-06-22
6678,Recurso,3AQP,,568.48,781.88,657.8,775.28,793.76,706.64,489.28,773.52,823.24,823.68,822.8,825.44,837.76,841.28,846.12,847.0,678.92,146.52,278.08,698.28,829.4,860.64,869.88,2024-06-23
6954,Recurso,3AQP,875.6,874.28,870.32,818.84,815.76,843.04,827.64,811.8,811.8,813.12,820.16,104.72,,,179.08,754.6,772.64,785.84,787.6,793.76,797.72,818.4,836.0,834.24,2024-06-24
7224,Recurso,3AQP,837.76,837.76,837.32,837.76,839.96,852.28,870.76,869.88,869.0,868.12,868.56,868.12,868.56,867.24,868.12,869.88,869.88,869.0,876.48,854.04,792.44,804.32,798.16,806.08,2024-06-25
7498,Recurso,3AQP,809.16,807.84,807.4,810.04,808.28,833.8,887.04,814.0,795.52,764.28,871.64,876.92,878.68,850.96,857.12,827.64,849.64,798.6,755.04,753.28,753.72,787.16,791.56,794.2,2024-06-26
7773,Recurso,3AQP,792.0,789.36,777.04,791.56,794.2,806.52,637.12,711.92,767.36,776.16,763.4,768.68,785.84,796.4,760.76,727.32,760.76,800.36,780.56,814.88,821.92,821.48,810.04,807.84,2024-06-27
8052,Recurso,3AQP,805.2,438.24,353.76,826.76,681.12,686.4,672.32,550.0,872.08,879.12,883.96,889.68,880.88,883.52,670.56,608.08,882.2,893.64,900.68,898.92,896.28,895.84,895.4,894.96,2024-06-28
53,Recurso,3AQP,227.92,226.6,220.44,205.92,182.6,226.16,192.28,220.0,189.64,223.08,273.68,221.76,226.16,236.72,242.88,71.28,136.84,257.4,187.44,215.16,214.28,46.64,31.24,245.96,2024-04-30
325,Recurso,3AQP,244.64,201.08,197.12,179.52,187.44,190.08,166.76,175.12,196.68,184.8,205.92,201.52,220.0,200.64,207.68,208.12,208.56,208.56,205.92,190.96,149.16,206.36,205.04,195.8,2024-05-01
591,Recurso,3AQP,170.72,144.32,20.24,126.28,,450.56,661.32,674.52,756.8,821.48,833.8,654.28,825.0,829.84,765.6,695.2,707.96,656.04,608.52,598.4,570.68,551.76,530.64,499.4,2024-05-02
851,Recurso,3AQP,500.28,500.72,500.72,500.28,498.52,426.36,474.76,427.68,443.08,444.4,446.6,434.28,417.12,407.88,348.48,288.2,385.0,359.04,326.48,334.84,319.0,318.56,304.92,267.08,2024-05-03
1110,Recurso,3AQP,269.72,271.92,270.6,270.6,289.52,296.56,296.56,298.76,304.48,360.36,363.0,368.28,133.76,714.12,825.0,838.2,749.32,731.72,706.2,729.52,638.44,602.8,584.32,546.92,2024-05-04
1379,Recurso,3AQP,537.68,520.96,501.16,490.6,479.6,472.12,490.16,504.68,517.88,519.2,526.24,531.96,539.44,577.28,492.36,479.16,460.24,454.08,446.16,436.04,414.92,408.32,415.36,418.0,2024-05-05
1637,Recurso,3AQP,408.32,388.52,378.4,388.08,370.92,376.2,356.84,324.72,385.0,384.12,362.12,366.96,379.72,381.48,381.92,381.04,194.92,246.84,444.84,494.12,506.44,314.6,408.32,449.24,2024-05-06
1895,Recurso,3AQP,450.12,447.04,421.96,371.8,390.72,420.64,374.88,405.24,399.96,401.28,402.6,397.32,318.56,403.48,401.72,372.68,343.64,316.8,330.88,304.48,315.92,346.72,601.48,766.48,2024-05-07
2156,Recurso,3AQP,678.04,763.84,693.0,446.16,225.72,78.76,219.12,665.28,829.84,840.84,866.36,820.16,825.88,820.16,842.6,845.68,838.64,792.0,779.68,743.6,743.16,742.72,742.72,752.4,2024-05-08
2415,Recurso,3AQP,751.96,751.52,751.08,712.36,691.24,700.04,570.24,716.32,616.0,639.76,604.56,662.64,692.56,714.12,768.68,770.0,786.72,774.4,681.56,638.88,449.24,561.88,833.8,830.72,2024-05-09
2669,Recurso,3AQP,832.48,833.8,828.52,831.6,832.04,834.24,856.24,869.88,869.88,845.24,861.52,858.44,857.56,856.24,732.6,852.28,805.64,772.64,803.44,775.72,733.04,796.4,812.24,809.16,2024-05-10
2924,Recurso,3AQP,809.16,810.04,815.32,811.8,729.08,765.6,677.16,757.24,616.88,,637.56,674.96,667.48,667.48,703.12,661.32,704.88,699.16,651.2,616.88,628.32,620.4,622.16,622.6,2024-05-11
3181,Recurso,3AQP,625.68,630.08,630.08,653.4,656.92,674.96,687.28,650.32,659.12,667.04,667.48,670.12,650.32,609.4,621.72,579.04,577.72,578.16,562.76,557.04,554.4,551.32,525.8,483.56,2024-05-12
3437,Recurso,3AQP,493.68,530.2,528.0,525.8,582.12,509.96,511.72,528.44,509.52,494.56,538.12,541.64,541.2,541.2,540.32,474.76,506.0,502.04,340.56,477.4,487.08,374.44,487.96,522.28,2024-05-13
3690,Recurso,3AQP,427.68,430.76,423.72,386.32,462.88,416.68,407.88,495.88,322.08,455.4,496.76,493.68,495.88,496.76,496.32,495.88,489.28,446.6,467.28,449.24,445.72,452.32,444.84,426.8,2024-05-14
3944,Recurso,3AQP,436.48,434.72,420.64,400.4,403.48,414.92,428.56,466.84,607.2,282.04,176.44,644.6,637.56,584.32,487.52,494.56,494.56,493.68,494.12,478.72,494.56,500.28,425.04,426.36,2024-05-15
4202,Recurso,3AQP,428.12,428.12,428.56,430.32,435.6,443.08,446.6,360.36,460.24,468.6,471.68,419.32,436.92,472.56,381.04,441.76,472.12,408.32,428.56,438.68,422.84,434.28,458.92,452.76,2024-05-16
4462,Recurso,3AQP,524.48,651.64,683.76,714.56,753.72,822.8,721.16,707.96,736.12,688.6,647.24,664.84,579.04,553.96,567.6,635.36,456.28,539.0,544.72,562.32,483.56,490.16,489.72,488.84,2024-05-17
4728,Recurso,3AQP,487.08,499.4,498.96,499.84,499.84,470.8,427.24,452.32,463.32,465.52,466.84,469.48,478.28,505.56,426.36,458.92,435.6,461.12,384.12,434.72,480.04,437.36,391.6,414.92,2024-05-18
4990,Recurso,3AQP,415.8,416.24,414.92,415.36,445.28,477.4,337.92,370.48,406.12,424.16,417.56,425.48,426.36,413.16,407.44,394.68,399.96,429.0,324.28,411.84,433.4,449.68,449.24,441.76,2024-05-19
5254,Recurso,3AQP,346.72,328.24,329.12,329.56,329.56,422.84,411.84,374.88,386.76,381.04,393.8,395.12,402.16,403.04,350.24,447.04,477.4,480.48,484.44,482.24,419.76,392.48,385.44,379.28,2024-05-20
5523,Recurso,3AQP,380.16,353.32,358.6,337.04,,,352.88,612.48,790.24,792.44,790.68,802.12,821.04,787.6,756.8,682.88,675.84,631.84,619.52,623.04,586.08,578.6,566.28,551.76,2024-05-21
5799,Recurso,3AQP,535.92,538.56,501.16,509.08,502.04,495.88,413.16,512.16,517.44,517.88,516.56,516.56,514.8,514.8,503.8,450.12,494.12,495.0,476.52,431.64,546.92,638.88,656.92,550.88,2024-05-22
6073,Recurso,3AQP,448.36,511.28,524.92,522.72,509.52,460.24,421.08,440.88,511.28,532.4,527.12,458.04,426.36,452.32,414.04,620.4,637.12,510.84,493.68,496.76,489.28,477.4,482.68,468.16,2024-05-23
6348,Recurso,3AQP,469.04,470.8,471.68,474.76,475.64,505.12,528.0,430.32,503.36,462.0,471.68,515.24,332.2,492.8,501.16,426.8,375.76,413.6,429.44,429.44,452.32,451.88,363.0,376.64,2024-05-24
6629,Recurso,3AQP,383.24,382.36,382.8,381.92,387.64,434.28,402.6,440.0,408.76,344.08,470.8,473.88,471.24,446.16,398.64,419.76,415.8,365.2,379.28,401.72,425.04,423.72,422.84,397.32,2024-05-25
6910,Recurso,3AQP,373.12,377.52,378.4,377.96,378.4,391.6,396.88,404.8,410.08,410.96,403.04,402.16,407.44,411.84,382.8,362.56,393.36,377.96,392.48,380.16,372.68,381.92,384.12,372.68,2024-05-26
7182,Recurso,3AQP,362.56,363.0,363.44,363.88,410.52,354.2,370.48,357.72,375.32,389.84,409.2,402.16,387.64,392.48,365.2,403.92,378.84,356.4,361.24,313.72,365.64,406.12,303.6,338.8,2024-05-27
7450,Recurso,3AQP,304.48,388.96,469.92,481.36,481.36,528.0,522.72,573.32,571.12,483.56,433.4,419.76,433.84,402.16,402.6,401.28,384.12,384.56,382.8,365.64,368.72,372.68,373.12,373.12,2024-05-28
